result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,4.33,4.2,1.72,5,2,3,18,12,164,51,126,45,6,3,1,26,11,155,61,103,37
H,1.8,3.6,4.33,6,3,1,20,10,159,72,124,39,5,1,4,19,14,157,55,141,51
H,1.44,4.2,7.5,3,3,4,17,18,130,51,154,53,0,3,7,10,25,145,54,128,57
H,1.85,3.4,4.33,5,0,5,20,14,150,64,124,46,6,1,3,22,14,159,61,119,42
H,1.17,8.0,15.0,9,0,1,35,12,167,83,92,51,2,2,6,10,20,128,44,90,45
H,2.6,3.2,2.75,1,4,5,9,17,121,34,116,43,5,4,1,13,8,100,32,86,24
H,1.62,3.8,5.5,4,3,3,15,12,129,47,136,46,5,2,3,11,10,122,49,169,59
H,1.33,5.0,8.5,5,3,2,23,11,169,73,99,40,7,1,2,21,13,166,63,87,32
H,2.75,3.3,2.5,3,3,4,10,8,94,28,150,41,6,1,3,18,15,114,39,147,46
H,1.8,3.5,4.75,3,3,4,10,16,122,45,127,60,1,3,6,8,16,119,37,112,48
H,1.3,5.25,11.0,8,1,1,20,3,148,67,112,25,4,3,3,13,12,110,43,102,42
H,1.36,4.5,10.0,5,5,0,15,6,112,36,99,28,5,2,3,15,10,116,36,140,49
H,1.22,5.75,13.0,6,1,3,27,17,192,64,103,46,4,2,4,14,15,96,40,107,37
H,2.4,3.3,2.87,3,2,5,13,16,112,36,113,43,4,1,5,15,15,124,51,143,41
H,1.44,4.0,7.5,7,1,2,16,9,111,41,123,32,1,4,5,7,14,115,36,127,43
H,1.95,3.5,3.75,2,1,7,12,21,133,48,153,57,0,5,5,5,15,116,35,111,46
H,2.0,3.2,3.75,5,1,4,7,6,111,25,153,36,2,4,4,8,10,123,27,121,49
H,2.6,3.1,2.9,0,1,9,7,29,112,33,136,58,1,3,6,8,14,137,45,114,41
H,1.44,4.33,7.0,5,3,2,18,10,146,59,99,35,1,4,5,10,20,115,45,176,78
H,2.38,3.4,2.9,4,1,5,13,23,148,43,137,55,3,1,6,11,14,132,44,126,41
H,1.25,6.0,12.0,6,3,1,20,9,119,46,157,38,2,2,6,10,19,95,31,146,59
H,1.33,5.25,8.5,3,2,5,15,22,109,42,129,53,4,2,4,14,14,125,39,112,50
H,1.44,4.0,6.0,1,5,4,8,15,104,41,129,42,3,3,4,13,13,114,41,108,41
H,2.4,3.1,3.25,4,3,3,9,8,100,33,99,24,3,3,4,7,10,144,47,95,33
H,1.17,7.0,15.0,8,1,1,25,5,171,69,83,27,5,4,1,14,8,107,35,140,44
H,1.3,5.5,9.5,7,0,3,23,12,172,62,110,31,3,5,2,16,13,127,38,91,28
H,1.36,5.0,9.0,6,3,1,24,14,181,71,112,42,2,5,3,12,14,117,41,123,43
H,2.14,3.3,3.6,3,4,3,17,15,144,55,117,38,3,3,4,12,15,128,30,84,43
H,2.88,3.6,2.3,6,2,2,25,11,178,73,119,35,8,1,1,32,11,141,57,78,28
H,1.44,4.0,7.5,5,2,3,12,15,111,44,150,53,0,2,8,9,24,105,34,136,61
H,1.85,3.5,4.2,3,3,4,11,13,115,38,121,42,3,1,6,11,18,117,40,137,59
H,2.05,3.25,3.75,1,4,5,5,12,81,24,138,31,2,2,6,5,15,104,27,151,44
H,1.55,4.2,5.5,5,2,3,17,10,100,41,113,43,0,4,6,6,23,96,19,144,51
H,1.25,6.0,11.0,6,2,2,19,8,122,38,111,37,1,3,6,10,23,105,28,169,76
H,2.14,3.4,3.4,2,4,4,10,11,153,43,153,47,4,3,3,12,12,129,43,115,41
H,3.5,3.3,2.1,0,3,7,5,18,85,28,132,49,5,2,3,17,12,121,45,123,50
H,1.9,3.25,4.0,4,1,5,8,13,96,38,151,54,3,2,5,16,20,130,51,168,64
