result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.73,3.5,5.0,4,3,3,14,11,141,42,142,34,5,1,4,15,17,137,41,149,53
H,1.22,5.5,13.0,8,2,0,22,11,121,67,88,43,2,6,2,8,9,114,50,92,44
H,1.44,4.33,7.0,5,2,3,16,11,115,40,142,43,5,1,4,18,16,112,41,181,66
H,2.38,3.0,3.2,5,0,5,13,13,140,41,119,44,5,3,2,12,8,155,52,130,37
H,1.18,7.0,17.0,6,3,1,18,7,182,64,83,26,0,1,9,5,19,104,24,148,46
H,1.3,4.75,12.0,2,2,6,10,19,116,38,164,57,3,1,6,12,15,131,39,167,57
H,1.29,5.75,10.0,7,3,0,32,12,180,89,103,37,1,3,6,10,18,111,37,130,49
H,1.1,8.0,21.0,3,4,3,9,8,92,39,75,35,2,2,6,15,26,101,50,135,71
H,1.44,4.33,7.0,1,3,6,9,20,103,35,127,46,4,1,5,14,14,159,57,129,39
H,1.57,4.2,5.75,6,2,2,16,14,148,66,111,38,5,1,4,19,14,149,58,108,45
H,1.61,3.6,6.0,4,4,2,13,8,93,34,175,51,6,0,4,13,11,154,45,123,46
H,2.75,3.25,2.63,3,4,3,12,15,158,54,111,44,6,3,1,23,11,153,50,156,49
H,1.91,3.5,4.2,6,0,4,16,17,142,47,111,46,5,2,3,18,12,130,47,105,36
H,1.83,3.4,4.5,3,3,4,16,16,112,42,166,49,2,5,3,11,13,90,38,141,43
H,1.62,3.6,6.0,3,2,5,14,17,102,43,152,48,2,1,7,11,18,110,38,126,47
H,2.1,3.25,3.5,2,3,5,9,15,127,46,138,46,4,4,2,12,9,82,33,210,62
H,2.4,3.3,3.0,4,2,4,13,11,146,39,124,49,4,3,3,13,12,138,47,157,38
H,2.8,2.88,2.75,3,2,5,9,11,136,43,97,29,7,1,2,15,7,101,35,128,41
H,1.8,3.5,4.75,2,3,5,12,15,117,36,134,43,3,1,6,8,16,130,35,165,48
H,1.95,3.3,4.33,2,5,3,9,11,84,26,137,48,3,2,5,9,17,132,27,201,56
H,2.38,2.63,3.75,3,5,2,8,6,100,37,152,42,4,5,1,14,8,119,41,121,39
H,1.73,3.5,5.0,5,4,1,18,9,144,54,122,36,2,4,4,12,13,140,54,122,37
H,1.53,4.0,7.0,2,4,4,10,11,111,38,143,45,1,1,8,5,22,86,16,140,58
H,1.57,4.0,6.0,3,3,4,15,13,156,48,115,42,3,1,6,6,16,120,34,139,57
H,3.25,3.4,2.2,3,2,5,13,16,97,36,132,51,3,3,4,13,16,114,38,165,43
H,1.57,3.5,7.0,5,1,4,19,15,146,59,150,44,4,0,6,10,14,145,47,119,50
H,1.7,3.8,5.0,3,5,2,14,11,116,59,83,40,3,2,5,17,25,97,55,126,76
H,2.4,3.1,3.1,1,3,6,4,12,134,44,153,46,2,3,5,12,15,135,45,143,52
H,1.19,7.0,15.0,4,4,2,13,5,129,41,106,24,3,2,5,10,18,84,31,118,38
H,3.0,3.25,2.38,4,3,3,19,14,142,43,125,39,6,2,2,15,9,156,62,113,45
H,1.33,5.0,10.0,5,3,2,16,7,168,53,107,22,4,2,4,10,9,116,30,123,42
